l,b,Linear Size (pc),sigma (km/s)
14.023,-0.238,1.7100100189444527,0.316048722354
14.053,-0.211,1.0322110811656835,0.369484410317
14.063,-0.233,1.1109375367669792,0.435315017639
14.068,0.099,0.7669394363913804,0.92831878827
14.079,0.088,0.6349625450345252,0.75320107089
14.103,0.055,2.835717149377332,0.476568272698
14.103,0.088,0.8072473080227054,1.20150634893
14.139,-0.343,2.179180518566409,0.390222826484
14.153,-0.05,2.471645762325637,0.368368533285
14.173,0.022,3.917368715726872,0.765310510678
14.195,-0.349,1.1081342407244246,0.526524616338
14.212,-0.194,13.19578278657216,0.692256102041
14.246,-0.072,3.341184564956706,0.900118990882
14.251,-0.369,0.4606532463007477,1.12549852453
14.306,-0.16,1.280494746547183,0.374128223103
14.312,0.019,4.814289383752531,0.519942667034
14.325,-0.133,2.8073475908928684,0.774285483065
14.328,-0.162,1.1230689829108504,0.388616862364
14.346,-0.205,0.9656361659723259,0.885262406326
14.36,-0.099,9.636842873415347,0.432489935524
14.379,-0.13,9.560201237839278,0.492675425673
14.388,-0.188,2.510963049760257,0.589922430091
14.393,-0.172,2.83327117378636,0.557449875231
14.405,-0.052,3.72316867052599,0.431798038931
14.414,-0.068,1.105934507376909,0.34059777844
14.419,-0.156,1.635050057047003,0.638911260091
14.428,-0.184,1.2556141033725885,1.5918566369
14.453,-0.147,1.0041298322236807,0.986437478708
14.461,-0.193,8.124898396654542,0.400762112572
14.467,-0.001,1.6991468153381626,0.774049572343
14.473,-0.246,2.6904015353725734,0.373710667768
14.475,-0.123,9.721252347244706,0.862105616146
14.483,-0.0,14.638741891658935,0.930222188364
14.487,-0.273,2.614029459116539,0.347876634396
14.502,-0.267,1.3598647052758934,0.691177640878
14.527,-0.245,1.0538319703592236,0.34098782241
14.533,-0.217,0.9918263966174453,0.527009733927
14.533,-0.076,0.95285146973907,1.16610638551
14.535,-0.321,0.9727455790583729,0.37481241382
14.557,-0.282,1.32294317298441,0.659756356718
14.559,-0.078,1.527300397992185,0.565397364804
14.568,-0.03,4.276056682019968,1.01763831791
14.57,-0.067,1.105782344079702,0.474695671074
14.571,-0.094,1.498123795993619,0.647684454817
14.574,-0.279,0.917362082012243,0.518245997049
14.579,-0.263,0.703510944727285,0.342258886488
14.582,-0.362,1.835911943568692,0.610390963396
14.583,-0.005,4.05736139526095,0.518690147724
14.587,-0.405,1.4035151624795463,0.768392473423
14.593,-0.124,1.6992278766919855,0.52040054335
14.593,0.284,0.47937297548402824,0.959600406768
14.603,-0.07,6.088732535605756,0.466254459399
14.607,-0.207,1.4936754178146698,0.464643727688
14.612,0.011,18.712828351931297,0.770498789663
14.623,-0.329,1.8524132285251047,0.457745184291
14.625,-0.301,1.4384955707304847,0.576303336979
14.628,0.315,2.656932758673433,0.547048015969
14.633,0.033,2.7418674873319144,0.728162923943
14.639,-0.125,8.98601449998599,0.465614753525
14.657,-0.003,3.604117122981485,0.50313580795
14.662,0.133,5.5438627559135005,0.290874362719
14.679,-0.044,2.0664798918710305,0.497057822603
14.684,-0.205,4.838177676079604,0.399382114046
14.687,0.027,7.642217549873097,0.616667037679
14.695,-0.14,9.84051501636308,0.446910715475
14.7,-0.187,1.9696723986940785,0.338026782458
14.7,0.034,1.8186735681249162,0.502693294435
14.707,0.07,1.2240662345156554,0.521389265086
14.727,-0.192,12.598440043874312,0.542449269253
14.733,-0.098,10.40009930564325,0.480837777175
14.744,-0.103,1.0069989947819624,0.538035514252
14.756,-0.082,1.2586611775015715,0.613369828917
14.773,-0.356,1.0872747861225525,1.00255548945
14.778,-0.334,0.9978792120575437,0.668541139363
14.803,-0.069,2.378118537836177,0.307588037329
14.807,-0.007,2.492330172230121,0.331000201576
14.822,0.08,5.883854867598831,0.284494439632
14.838,0.017,8.44951878009989,0.755703940948
14.842,-0.144,5.337286888851254,0.33097357971
14.85,-0.01,6.974657940357151,1.01008358217
14.859,-0.163,6.641350867322796,0.429167711901
14.862,0.069,3.4502066736218633,0.193909475201
14.865,-0.045,6.33961977168188,0.41249536017
14.871,-0.098,6.412736550062132,0.863808026728
14.872,0.005,5.184145731242868,0.530149192866
14.885,-0.359,0.7152227203026948,0.496558985818
14.886,-0.164,2.5911394775936536,0.294136339095
14.889,-0.164,14.236686918647735,0.665019646805
14.891,-0.401,1.6929702716087562,0.525148010429
14.914,-0.071,19.579422504498837,0.725300279032
14.933,-0.032,1.144476911925641,0.61896419696
14.934,-0.181,3.1133489447971145,0.352092512214
14.935,0.036,23.89641196045772,0.633163694368
14.942,0.119,3.3157991955677835,0.671235640626
14.948,-0.075,1.4455162790358198,0.717486421581
14.957,-0.084,2.580203891362613,0.588426310318
14.958,-0.034,3.5577201154120255,0.33531042623
14.99,-0.123,3.0881586757331116,0.673252028598
14.995,-0.009,13.627368665869449,0.709918685919
15.021,-0.077,10.363285698689902,0.441725548427
15.05,-0.065,0.9123076836659422,0.471927732199
15.053,0.083,11.975289520105928,0.402158188762
15.067,0.033,3.35607120195093,0.21108903967
15.075,-0.129,1.8612702375938157,0.689947079877
15.077,0.133,6.750681220109612,0.457261751502
15.089,0.09,4.318791133554931,0.575667592266
15.104,-0.124,1.5921029145407333,0.399581601758
15.109,0.089,2.589192604694941,0.340302144692
15.178,0.045,2.4717971223168984,0.907557283565
15.185,-0.155,3.7478299195817963,0.543394892996
15.206,0.043,5.166915584265279,0.489047635274
15.232,-0.124,5.019033733983754,0.301495423811
15.274,-0.116,11.798477019022092,0.298213719462
15.29,0.224,0.5104424158782187,0.345561906735
15.439,0.192,3.8858531474234748,0.439318894532
15.459,-0.006,1.065211201526816,0.771422390984
15.461,0.239,1.030127055221059,0.309945145451
16.145,0.009,1.4392428507888864,0.963365788722
16.302,-0.363,1.295723305456159,0.350489147734
16.302,-0.196,1.5031729174664603,0.615286919206
16.325,-0.074,6.767295952040148,0.528352488158
16.328,-0.149,4.18730199785561,0.913354022272
16.348,-0.108,1.5170600242003518,0.351028011253
16.36,-0.246,1.2466164303231755,0.301453706505
16.364,-0.209,5.401264135338911,0.541492283289
16.375,-0.045,5.205218725704036,0.509917213096
16.381,-0.126,3.9474822183110314,0.751391386408
16.417,-0.192,5.015613656315013,0.808635990874
16.442,-0.381,1.8755302082871577,0.396648704942
16.472,-0.328,1.2057178763104883,0.578828169911
16.478,-0.185,1.0245582692682424,0.302073269564
16.488,-0.089,1.100129435211384,0.369955599303
16.499,-0.273,2.7557509128201034,0.635784915283
16.515,-0.179,1.7526593484616546,0.344789970988
16.525,-0.4,0.749328287705444,0.687482005853
16.538,-0.025,1.8808195937814576,0.541816386652
16.539,-0.319,1.192697930591546,0.274733575528
16.571,-0.083,10.261930895767028,0.510434767157
