Ncl     x     y     v  Tpeak  FWHMx  FWHMy    R    FWHMv     Sum(T)    Npix
354   325   422   588   0.59   1.43   1.77   1.49   1.37       3.50       9    
355   414    54   406   0.59   1.95   1.06   1.13   1.69       4.29      11    
356   482   394   465   0.59   3.29   1.27   1.69   0.75       4.28      11    
357   495   134   561   0.59   1.09   1.16   0.98   2.03       4.17      10    
358   458   138   536   0.59   -NaN   0.00   0.56   3.49       2.58       6    
359    48   264   415   0.59   0.75   1.55   1.13   3.85       6.83      17    
360   269   268   449   0.59   0.97   2.83   1.38   1.35       4.90      12    
361   160   356   569   0.59  20.55   7.61   8.72   7.97     462.26    1660    
362   294   492   718   0.59   1.78   1.50   1.38   1.17       4.42      11    
363   463   131   539   0.59   1.17   1.17   1.13   1.19       3.05       7    
364   479    76   489   0.59   1.76   2.31   1.49   0.00       3.35       7    
365    95   353   406   0.59   5.81   3.20   3.66   2.31      45.35     136    
366   458   372   499   0.59   2.18   2.33   1.38   2.01       5.44      15    
367   101    61   657   0.59   5.41   4.77   5.29   6.48     176.12     549    
368   462    47   511   0.59   1.02   1.13   0.98   1.66       3.48       8    
369   593   230   393   0.59   1.11   1.10   0.98   1.18       3.00       6    
370   213   373   613   0.59   2.26   3.27   1.49   1.39       2.88       9    
371   213   416   619   0.59   3.97   4.75   3.99   5.36     129.08     377    
372    33   264   405   0.59   1.18   1.18   0.80   3.99       2.51       6    
373   450   250   530   0.58   1.17   1.11   0.98   1.25       2.40       6    
374    57   267   349   0.58   1.17   1.13   0.98   1.28       2.29       6    
375   452   397   626   0.58   1.11   1.18   1.13   1.33       2.94       8    
376    91   272   555   0.58   3.92   3.02   1.95   4.16      19.37      58    
377   489   114   784   0.58   1.48   1.53   1.38   1.31       4.36      11    
378    58   264   416   0.58   -NaN   1.18   0.80   1.73       2.45       6    
379   589   311   340   0.58   2.78   2.27   1.69   3.48      15.37      43    
380   314   157   674   0.58   1.10   1.13   0.98   1.12       2.24       6    
381   540   161   551   0.58   0.00   0.00   0.56   8.76       6.33      15    
382   453   234   511   0.58   1.14   1.08   0.98   1.13       2.62       6    
383    63   258   337   0.58   1.10   1.13   0.98   2.62       5.01      13    
384   409    49   625   0.58   2.20   2.19   1.38   0.00       3.09       6    
385   532   135   710   0.58   0.00   1.87   0.98   1.46       2.95       7    
386   514   234   632   0.58   2.62   4.25   2.33   6.00      26.39      77    
387   513   351   530   0.58   0.95   2.07   1.26   1.40       3.17       9    
388   412    49   403   0.58   2.79   2.13   1.49   3.68      14.44      35    
389   583    77   344   0.58   1.18   1.54   1.13   1.13       3.07       7    
390   522   102   704   0.58   1.63   1.65   1.13   1.07       2.67       6    
